Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status,Length of Stay (Days),Booking Window (Days),Reservation ID,Listing ID,Unit ID,PMS,Property Name,BR Count,Group,Sub-Group,Tags,City,Sync Price
OASIS PH - Hot Tub | 2 Terraces,25 abr 2026,09 may 2026,07 abr 2026,$ 103.39,"$ 1,447.50","$ 1,497.50",USD,Airbnb,Booked,14,18,HMKHPNNMJD,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,16 may 2026,16 jun 2026,19 mar 2026,$ 77.81,"$ 2,412.00","$ 2,462.00",USD,Airbnb,Booked,31,58,HMJMQFWCJK,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,15 mar 2026,19 abr 2026,06 mar 2026,$ 41.66,"$ 1,458.00","$ 1,483.00",USD,Airbnb,Booked,35,9,HMXFHBC5C4,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,13 feb 2026,13 mar 2026,08 feb 2026,$ 40.93,"$ 1,146.00","$ 1,171.00",USD,Airbnb,Booked,28,5,HM3TZSSJMJ,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,12 mar 2026,23 abr 2026,08 feb 2026,$ 79.52,"$ 3,340.00","$ 3,390.00",USD,Airbnb,Booked,42,32,HMWZCA2PAM,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,10 feb 2026,10 mar 2026,08 feb 2026,$ 70.52,"$ 1,974.50","$ 2,024.50",USD,Airbnb,Booked,28,2,HMBCR3NB92,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,28 ene 2026,03 feb 2026,24 ene 2026,$ 125.33,$ 752.00,$ 777.00,USD,Airbnb,Booked,6,4,HMY4NXN35D,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,01 feb 2026,08 feb 2026,07 ene 2026,$ 83.57,$ 585.00,$ 635.00,USD,Airbnb,Booked,7,25,HMQRCRF5FW,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,15 ene 2026,25 ene 2026,06 ene 2026,$ 156.60,"$ 1,566.00","$ 1,616.00",USD,Airbnb,Booked,10,9,HMZM35DH9P,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,27 dic 2025,26 ene 2026,10 dic 2025,$ 51.80,"$ 1,554.00","$ 1,579.00",USD,Airbnb,Booked,30,17,HMP4K42CNQ,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,29 nov 2025,18 dic 2025,26 nov 2025,$ 55.03,"$ 1,045.60","$ 1,070.60",USD,Airbnb,Booked,19,3,HM53F2YKWE,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,29 nov 2025,06 dic 2025,25 nov 2025,$ 112.89,$ 790.20,$ 840.20,USD,Airbnb,Booked,7,4,HMB9ZYX2JS,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,04 nov 2025,27 nov 2025,29 oct 2025,$ 43.52,"$ 1,001.00","$ 1,026.00",USD,Airbnb,Booked,23,6,HMFAFZABKW,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,14 oct 2025,31 oct 2025,12 oct 2025,$ 41.60,$ 707.20,$ 732.20,USD,Airbnb,Booked,17,2,HMPPM8WY3Z,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,25 oct 2025,23 nov 2025,17 sep 2025,$ 78.78,"$ 2,284.50","$ 2,334.50",USD,Airbnb,Booked,29,38,HMHF3PAQ9H,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,12 dic 2025,13 ene 2026,23 ago 2025,$ 132.23,"$ 4,231.50","$ 4,281.50",USD,Airbnb,Booked,32,111,HMJ2CDAH9Q,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,13 sep 2025,06 oct 2025,17 ago 2025,$ 42.33,$ 973.70,$ 998.70,USD,Airbnb,Booked,23,27,HMJRNEWAQE,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,20 sep 2025,18 oct 2025,13 ago 2025,$ 68.80,"$ 1,926.50","$ 1,976.50",USD,Airbnb,Booked,28,38,HMEHYQMFEQ,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,16 ago 2025,13 sep 2025,17 jul 2025,$ 75.30,"$ 2,108.50","$ 2,158.50",USD,Airbnb,Booked,28,30,HM9JSXEAWF,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,18 jul 2025,03 sep 2025,08 jul 2025,$ 44.89,"$ 2,110.00","$ 2,135.00",USD,Airbnb,Booked,47,10,HM4NZFDZE5,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 3 - Private Room,27 jun 2025,30 jun 2025,27 jun 2025,$ 22.67,$ 68.00,$ 78.00,USD,Airbnb,Booked,3,0,HMYZA2SKTY,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,24 jun 2025,01 jul 2025,24 jun 2025,$ 19.14,$ 134.00,$ 144.00,USD,Airbnb,Booked,7,0,HM5F4C3KCJ,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,22 jun 2025,29 jun 2025,22 jun 2025,$ 19.06,$ 133.45,$ 143.45,USD,Airbnb,Booked,7,0,HMETTYP5AE,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,18 jun 2025,27 jun 2025,18 jun 2025,$ 17.66,$ 158.95,$ 168.95,USD,Airbnb,Booked,9,0,HMEJ5TCRSZ,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
